id,create_uid/id,create_date,write_uid/id,write_date,plant,location_code,description
__import__.nstda_mst_location_1,,,,,1000,10C0CAP,N/A
__import__.nstda_mst_location_2,,,,,1000,10C0PMM,N/A
__import__.nstda_mst_location_3,,,,,1000,10CMSCM,ม.เชียงใหม่
__import__.nstda_mst_location_4,,,,,1000,10COACF,Central ฝ่ายการเงินและบัญชี
__import__.nstda_mst_location_5,,,,,1000,10COADO,Central พัฒนาความร่วมมือกลุ่มพันธมิตร
__import__.nstda_mst_location_6,,,,,1000,10COADT,ศูนย์เทคโนโลยีทางทันตกรรมชั้นสูง
__import__.nstda_mst_location_7,,,,,1000,10COAP1,Central ผอ.ฝ่ายบริหารทั่วไป
__import__.nstda_mst_location_8,,,,,1000,10COAP2,Central งานธุรการ
__import__.nstda_mst_location_9,,,,,1000,10COAP3,Central งานพัสดุ
__import__.nstda_mst_location_10,,,,,1000,10COBNC,Central Business Center
__import__.nstda_mst_location_11,,,,,1000,10COCAC,Central Call Center
__import__.nstda_mst_location_12,,,,,1000,10COCAP,Central ฝ่ายรัฐกิจสัมพันธ์
__import__.nstda_mst_location_13,,,,,1000,10COCAT,Central โรงอาหาร
__import__.nstda_mst_location_14,,,,,1000,10COCCD,Central ศูนย์คอมพิวเตอร์
__import__.nstda_mst_location_15,,,,,1000,10COCCP,Central สำนักส่งเสริมเครือข่ายฯ
__import__.nstda_mst_location_16,,,,,1000,10COCD1,Central สนับสนุนวิจัยฯ
__import__.nstda_mst_location_17,,,,,1000,10COCEO,Central สำนักผู้อำนวยฯ
__import__.nstda_mst_location_18,,,,,1000,10COCPM,Central สำนักบริหารจัดการคลัสเตอร์ฯ CPMO
__import__.nstda_mst_location_19,,,,,1000,10COCUP,ฝ่ายชุมชนและผู้ด้อยโอกาส
__import__.nstda_mst_location_20,,,,,1000,10CODFT,ห้องปฏิบัติการฯเทคโนฯพยานหลักฐาน
__import__.nstda_mst_location_21,,,,,1000,10CODNA,Central DNA
__import__.nstda_mst_location_22,,,,,1000,10COEDE,Central ฝ่ายติดตามประเมินผล
__import__.nstda_mst_location_23,,,,,1000,10COENT,Central ศูนย์พลังงานฯ
__import__.nstda_mst_location_24,,,,,1000,10COEX1,Central รองผพว.ชัชนาถ
__import__.nstda_mst_location_25,,,,,1000,10COEX2,Central ผพว.
